产品ID,产品名称,核算边界,碳足迹,企业名称,数据年份,数据类型,是否低碳
37330X0042017A,坡化微珠保温砂浆,摇篮到大门,164.25kgCO2e / 立方米,-,2017,文献数据,否
17100G0062011A,垃圾发电,摇篮到大门,212kgCO2e / 公吨,-,2011,文献数据,否
94332X0012015A,垃圾填埋,摇篮到坟墓,577kgCO2e / 公吨,-,2015,文献数据,否
94332X0022012A,垃圾填埋-全国,摇篮到坟墓,583.87kgCO2e / 公吨,-,2012,文献数据,否
94332X0112013A,垃圾填埋处置,摇篮到坟墓,819.5kgCO2e / 公吨,-,2013,文献数据,否
94332X0042013A,垃圾露天倾倒,摇篮到坟墓,607kgCO2e / 公吨,-,2013,文献数据,否
11050X0012011A,型煤,摇篮到坟墓,2.18tCO2e / 公吨,-,2011,文献数据,否
42190X0062017A,型钢,摇篮到坟墓,4.347tCO2e / 公吨,-,2017,文献数据,否
86330X0032011A,城市供水的GHG排放,摇篮到大门,0.213kgCO2e / 立方米,-,2011,文献数据,否
64111X0022021A,城市地铁,摇篮到大门,0.0153kgCO2e / 人·千米,-,2021,文献数据,否
86330X0012011A,城市水供应的温室气体总排放,摇篮到大门,0.213kgCO2e / 立方米,-,2011,文献数据,否
18000X0032015A,城市用水,摇篮到大门,0.15kgCO2e / 立方米,-,2015,文献数据,否
18000X0042015A,城市用水,摇篮到大门,0.31kgCO2e / 立方米,-,2015,文献数据,否
18000X0052015A,城市用水,摇篮到大门,3.45kgCO2e / 立方米,-,2015,文献数据,否
18000X0062015A,城市用水,摇篮到大门,5.75kgCO2e / 立方米,-,2015,文献数据,否
18000X0072015A,城市用水,摇篮到大门,11.5kgCO2e / 立方米,-,2015,文献数据,否
18000X0082015A,城市用水,摇篮到大门,18kgCO2e / 立方米,-,2015,文献数据,否
18000X0092015A,城市用水,摇篮到大门,4.55kgCO2e / 立方米,-,2015,文献数据,否
18000X0102015A,城市用水,摇篮到大门,0.82kgCO2e / 立方米,-,2015,文献数据,否
